Date,GOOGL,Alphabet Inc.,Alphabet
2016-05-08,42.75,0.0,36.96
2016-05-09,64.5,0.0,50.400000000000006
2016-05-10,59.25,0.0,49.84
2016-05-11,58.5,0.0,56.00000000000001
2016-05-12,69.0,0.0,53.760000000000005
2016-05-13,64.5,0.0,47.6
2016-05-14,46.5,0.0,34.720000000000006
2016-05-15,45.0,0.0,38.19
2016-05-16,67.5,0.0,43.31999999999999
2016-05-17,69.0,0.0,55.85999999999999
2016-05-18,63.75,0.0,55.85999999999999
2016-05-19,69.75,0.0,51.87
2016-05-20,65.25,0.0,44.459999999999994
2016-05-21,39.75,0.0,38.19
2016-05-22,45.88,0.0,40.8
2016-05-23,59.2,0.0,41.82
2016-05-24,68.08,0.0,43.86
2016-05-25,65.86,0.0,40.8
2016-05-26,59.94,0.0,46.410000000000004
2016-05-27,58.46,0.0,38.25
2016-05-28,34.78,0.0,29.580000000000002
2016-05-29,24.91,0.0,31.02
2016-05-30,25.970000000000002,0.0,30.08
2016-05-31,33.39,0.0,32.9
2016-06-01,32.33,0.0,47.0
2016-06-02,32.86,0.0,45.12
2016-06-03,49.29,0.0,45.589999999999996
2016-06-04,28.62,0.0,38.54
2016-06-05,20.65,0.0,45.760000000000005
2016-06-06,53.099999999999994,0.0,48.36
2016-06-07,40.12,27.549999999999997,48.88
2016-06-08,38.94,0.0,44.2
2016-06-09,52.51,0.0,43.68
2016-06-10,59.0,0.0,43.160000000000004
2016-06-11,20.65,0.0,41.08
2016-06-12,27.560000000000002,0.0,34.79
2016-06-13,37.96,0.0,44.589999999999996
2016-06-14,44.72,0.0,43.12
2016-06-15,35.88,0.0,40.67
2016-06-16,44.72,0.0,35.769999999999996
2016-06-17,41.08,0.0,40.67
2016-06-18,27.04,0.0,37.24
2016-06-19,30.68,0.0,34.96
2016-06-20,36.92,0.0,38.18
2016-06-21,33.28,0.0,38.18
2016-06-22,34.32,0.0,39.1
2016-06-23,34.84,0.0,34.5
2016-06-24,43.68,0.0,39.1
2016-06-25,34.32,0.0,33.58
2016-06-26,27.0,0.0,35.42
2016-06-27,32.85,0.0,41.86
2016-06-28,45.0,0.0,38.64
2016-06-29,30.150000000000002,0.0,43.7
2016-06-30,27.900000000000002,0.0,38.64
2016-07-01,29.7,0.0,39.56
2016-07-02,18.45,0.0,38.64
2016-07-03,18.9,0.0,40.02
2016-07-04,17.64,0.0,40.480000000000004
2016-07-05,18.48,0.0,40.02
2016-07-06,28.56,0.0,38.64
2016-07-07,19.32,8.0,44.620000000000005
2016-07-08,24.36,0.0,40.02
2016-07-09,11.34,0.0,36.34
2016-07-10,14.4,0.0,37.599999999999994
2016-07-11,22.05,0.0,39.01
2016-07-12,23.400000000000002,0.0,43.239999999999995
2016-07-13,22.05,0.0,39.48
2016-07-14,21.6,0.0,45.589999999999996
2016-07-15,22.05,0.0,37.599999999999994
2016-07-16,13.05,0.0,36.19
2016-07-17,24.96,0.0,34.76
2016-07-18,21.84,0.0,38.28
2016-07-19,24.96,0.0,36.08
2016-07-20,19.76,0.0,38.72
2016-07-21,23.400000000000002,0.0,37.84
2016-07-22,20.28,0.0,35.2
2016-07-23,19.240000000000002,0.0,32.12
2016-07-24,14.399999999999999,0.0,38.4
2016-07-25,46.199999999999996,0.0,43.199999999999996
2016-07-26,32.4,0.0,37.44
2016-07-27,39.6,0.0,40.8
2016-07-28,47.4,0.0,48.0
2016-07-29,60.0,0.0,47.04
2016-07-30,34.199999999999996,0.0,42.239999999999995
2016-07-31,20.0,0.0,50.4
2016-08-01,39.0,0.0,26.4
2016-08-02,40.5,0.0,31.2
2016-08-03,36.0,0.0,25.8
2016-08-04,36.0,0.0,28.2
2016-08-05,35.0,0.0,22.2
2016-08-06,32.0,0.0,60.0
2016-08-07,21.56,0.0,23.5
2016-08-08,39.2,0.0,22.5
2016-08-09,34.3,0.0,25.0
2016-08-10,34.79,0.0,22.0
2016-08-11,35.28,0.0,29.0
2016-08-12,33.81,0.0,19.0
2016-08-13,28.419999999999998,0.0,21.5
2016-08-14,27.03,0.0,27.0
2016-08-15,31.11,0.0,31.2
2016-08-16,48.96,16.0,33.0
2016-08-17,33.15,0.0,34.8
2016-08-18,39.78,0.0,35.4
2016-08-19,23.97,0.0,32.4
2016-08-20,29.07,0.0,26.4
2016-08-21,31.720000000000002,0.0,31.490000000000002
2016-08-22,41.6,0.0,39.53
2016-08-23,31.200000000000003,14.85,47.57
2016-08-24,44.72,0.0,44.220000000000006
2016-08-25,52.0,0.0,42.88
2016-08-26,41.08,0.0,42.88
2016-08-27,30.68,0.0,29.48
2016-08-28,32.489999999999995,0.0,43.07
2016-08-29,34.769999999999996,12.740000000000002,43.8
2016-08-30,48.449999999999996,0.0,48.91
2016-08-31,53.01,0.0,51.83
2016-09-01,37.62,0.0,67.16
2016-09-02,38.76,14.000000000000002,61.32
2016-09-03,16.529999999999998,0.0,44.53
2016-09-04,24.189999999999998,0.0,39.65
2016-09-05,27.139999999999997,0.0,46.15
2016-09-06,40.12,0.0,55.9
2016-09-07,46.61,13.160000000000002,59.15
2016-09-08,44.25,0.0,64.35000000000001
2016-09-09,40.12,0.0,62.400000000000006
2016-09-10,22.419999999999998,0.0,41.6
2016-09-11,25.2,0.0,51.059999999999995
2016-09-12,51.8,0.0,60.72
2016-09-13,50.4,0.0,67.61999999999999
2016-09-14,56.699999999999996,0.0,69.0
2016-09-15,54.599999999999994,13.440000000000001,68.30999999999999
2016-09-16,51.8,0.0,55.199999999999996
2016-09-17,25.9,0.0,41.4
2016-09-18,34.32,0.0,48.989999999999995
2016-09-19,50.82,0.0,60.029999999999994
2016-09-20,45.54,0.0,59.339999999999996
2016-09-21,51.480000000000004,0.0,66.24
2016-09-22,66.0,0.0,62.78999999999999
2016-09-23,50.82,0.0,53.81999999999999
2016-09-24,32.34,0.0,36.57
2016-09-25,26.4,0.0,40.87
2016-09-26,54.0,0.0,44.53
2016-09-27,49.8,0.0,52.46
2016-09-28,40.8,0.0,56.73
2016-09-29,47.4,0.0,52.46
2016-09-30,46.199999999999996,0.0,49.41
2016-10-01,28.799999999999997,0.0,39.04
2016-10-02,22.619999999999997,42.0,37.12
2016-10-03,43.5,36.12,45.239999999999995
2016-10-04,49.3,0.0,57.99999999999999
2016-10-05,38.86,0.0,49.879999999999995
2016-10-06,42.339999999999996,0.0,52.199999999999996
2016-10-07,37.699999999999996,0.0,41.18
2016-10-08,24.939999999999998,0.0,35.96
2016-10-09,21.78,0.0,39.53
2016-10-10,44.88,0.0,47.199999999999996
2016-10-11,48.18,0.0,50.15
2016-10-12,44.88,0.0,48.97
2016-10-13,54.78,0.0,51.33
2016-10-14,47.52,0.0,46.61
2016-10-15,21.78,0.0,33.629999999999995
2016-10-16,30.72,0.0,40.8
2016-10-17,44.800000000000004,0.0,52.199999999999996
2016-10-18,64.0,0.0,57.0
2016-10-19,53.120000000000005,0.0,54.0
2016-10-20,55.04,0.0,51.0
2016-10-21,48.0,12.32,44.4
2016-10-22,24.32,0.0,37.8
2016-10-23,29.26,0.0,40.8
2016-10-24,62.370000000000005,23.8,48.0
2016-10-25,74.69,0.0,53.4
2016-10-26,65.45,23.520000000000003,49.199999999999996
2016-10-27,69.3,0.0,56.4
2016-10-28,69.3,0.0,51.6
2016-10-29,36.96,0.0,38.4
2016-10-30,25.2,0.0,36.300000000000004
2016-10-31,53.28,0.0,43.45
2016-11-01,63.36,14.000000000000002,48.95
2016-11-02,70.56,0.0,50.6
2016-11-03,69.84,0.0,48.95
2016-11-04,69.84,0.0,45.1
2016-11-05,40.32,0.0,42.900000000000006
2016-11-06,31.68,0.0,38.480000000000004
2016-11-07,59.400000000000006,0.0,44.2
2016-11-08,50.160000000000004,0.0,40.04
2016-11-09,61.38,0.0,32.76
2016-11-10,65.34,0.0,47.32
2016-11-11,45.54,0.0,41.6
2016-11-12,31.020000000000003,0.0,37.44
2016-11-13,36.75,0.0,43.31
2016-11-14,60.0,0.0,54.29
2016-11-15,65.25,0.0,57.339999999999996
2016-11-16,71.25,0.0,61.0
2016-11-17,66.0,0.0,58.56
2016-11-18,64.5,0.0,58.56
2016-11-19,32.25,0.0,42.699999999999996
2016-11-20,23.52,0.0,32.9
2016-11-21,34.56,0.0,38.07
2016-11-22,43.199999999999996,0.0,36.66
2016-11-23,24.48,0.0,36.19
2016-11-24,23.52,0.0,32.43
2016-11-25,18.72,0.0,25.849999999999998
2016-11-26,19.68,0.0,33.839999999999996
2016-11-27,29.48,0.0,43.66
2016-11-28,54.27,0.0,46.019999999999996
2016-11-29,59.63,0.0,54.279999999999994
2016-11-30,67.0,0.0,54.87
2016-12-01,51.59,0.0,54.279999999999994
2016-12-02,47.57,0.0,46.019999999999996
2016-12-03,24.790000000000003,0.0,41.3
2016-12-04,32.9,0.0,43.31
2016-12-05,49.699999999999996,0.0,58.56
2016-12-06,56.0,0.0,53.07
2016-12-07,53.9,0.0,57.339999999999996
2016-12-08,70.0,0.0,61.0
2016-12-09,46.199999999999996,0.0,54.9
2016-12-10,24.5,0.0,37.82
2016-12-11,27.52,0.0,40.150000000000006
2016-12-12,54.4,0.0,50.050000000000004
2016-12-13,45.44,0.0,50.6
2016-12-14,48.64,0.0,47.85
2016-12-15,51.84,0.0,49.50000000000001
2016-12-16,41.6,0.0,45.1
2016-12-17,23.68,0.0,33.550000000000004
2016-12-18,21.599999999999998,0.0,41.800000000000004
2016-12-19,33.6,0.0,44.550000000000004
2016-12-20,34.08,0.0,46.2
2016-12-21,30.72,0.0,49.50000000000001
2016-12-22,27.36,0.0,47.300000000000004
2016-12-23,24.96,0.0,40.150000000000006
2016-12-24,19.68,0.0,36.85
2016-12-25,17.63,0.0,29.61
2016-12-26,13.33,0.0,23.97
2016-12-27,21.5,0.0,31.49
2016-12-28,19.35,0.0,24.91
2016-12-29,20.64,8.25,25.38
2016-12-30,17.63,0.0,32.9
2016-12-31,15.049999999999999,0.0,33.839999999999996
